ndcg,map,recall,precision,dataset,retriever,reranker
"{'NDCG@1': 0.12654, 'NDCG@3': 0.13325, 'NDCG@5': 0.1398, 'NDCG@10': 0.15528, 'NDCG@100': 0.21888}","{'MAP@1': 0.06134, 'MAP@3': 0.09477, 'MAP@5': 0.10316, 'MAP@10': 0.11143, 'MAP@100': 0.12447}","{'Recall@1': 0.06134, 'Recall@3': 0.12717, 'Recall@5': 0.15474, 'Recall@10': 0.19854, 'Recall@100': 0.45154}","{'P@1': 0.12654, 'P@3': 0.09516, 'P@5': 0.07099, 'P@10': 0.04738, 'P@100': 0.01099}",fiqa,tfidf,none
"{'NDCG@1': 0.42593, 'NDCG@3': 0.37111, 'NDCG@5': 0.37048, 'NDCG@10': 0.37938, 'NDCG@100': 0.39261}","{'MAP@1': 0.20933, 'MAP@3': 0.2867, 'MAP@5': 0.30278, 'MAP@10': 0.31306, 'MAP@100': 0.31784}","{'Recall@1': 0.20933, 'Recall@3': 0.32919, 'Recall@5': 0.36636, 'Recall@10': 0.40669, 'Recall@100': 0.45154}","{'P@1': 0.42593, 'P@3': 0.24537, 'P@5': 0.17006, 'P@10': 0.09676, 'P@100': 0.01099}",fiqa,tfidf,bi_encoder
"{'NDCG@1': 0.31327, 'NDCG@3': 0.28887, 'NDCG@5': 0.29619, 'NDCG@10': 0.30849, 'NDCG@100': 0.33637}","{'MAP@1': 0.15478, 'MAP@3': 0.21845, 'MAP@5': 0.23551, 'MAP@10': 0.24644, 'MAP@100': 0.2538}","{'Recall@1': 0.15478, 'Recall@3': 0.26242, 'Recall@5': 0.30849, 'Recall@10': 0.35315, 'Recall@100': 0.45154}","{'P@1': 0.31327, 'P@3': 0.19342, 'P@5': 0.14105, 'P@10': 0.08272, 'P@100': 0.01099}",fiqa,tfidf,cross_encoder
"{'NDCG@1': 0.14198, 'NDCG@3': 0.13456, 'NDCG@5': 0.14462, 'NDCG@10': 0.15906, 'NDCG@100': 0.19821}","{'MAP@1': 0.07256, 'MAP@3': 0.09934, 'MAP@5': 0.10884, 'MAP@10': 0.11632, 'MAP@100': 0.12386}","{'Recall@1': 0.07256, 'Recall@3': 0.12695, 'Recall@5': 0.16026, 'Recall@10': 0.20372, 'Recall@100': 0.35899}","{'P@1': 0.14198, 'P@3': 0.08899, 'P@5': 0.0679, 'P@10': 0.0446, 'P@100': 0.00832}",fiqa,bm25,none
"{'NDCG@1': 0.35802, 'NDCG@3': 0.3009, 'NDCG@5': 0.30316, 'NDCG@10': 0.31098, 'NDCG@100': 0.31871}","{'MAP@1': 0.18285, 'MAP@3': 0.23312, 'MAP@5': 0.24584, 'MAP@10': 0.25375, 'MAP@100': 0.25637}","{'Recall@1': 0.18285, 'Recall@3': 0.26246, 'Recall@5': 0.299, 'Recall@10': 0.33099, 'Recall@100': 0.35899}","{'P@1': 0.35802, 'P@3': 0.1893, 'P@5': 0.13148, 'P@10': 0.07593, 'P@100': 0.00832}",fiqa,bm25,bi_encoder
"{'NDCG@1': 0.27623, 'NDCG@3': 0.24184, 'NDCG@5': 0.25035, 'NDCG@10': 0.25971, 'NDCG@100': 0.27747}","{'MAP@1': 0.13768, 'MAP@3': 0.18257, 'MAP@5': 0.19644, 'MAP@10': 0.20332, 'MAP@100': 0.20812}","{'Recall@1': 0.13768, 'Recall@3': 0.22017, 'Recall@5': 0.26285, 'Recall@10': 0.29608, 'Recall@100': 0.35899}","{'P@1': 0.27623, 'P@3': 0.15432, 'P@5': 0.11296, 'P@10': 0.06574, 'P@100': 0.00832}",fiqa,bm25,cross_encoder
"{'NDCG@1': 0.34722, 'NDCG@3': 0.3318, 'NDCG@5': 0.34504, 'NDCG@10': 0.36867, 'NDCG@100': 0.43931}","{'MAP@1': 0.1714, 'MAP@3': 0.25188, 'MAP@5': 0.27507, 'MAP@10': 0.29141, 'MAP@100': 0.30956}","{'Recall@1': 0.1714, 'Recall@3': 0.30536, 'Recall@5': 0.36706, 'Recall@10': 0.44131, 'Recall@100': 0.70606}","{'P@1': 0.34722, 'P@3': 0.22377, 'P@5': 0.16759, 'P@10': 0.10448, 'P@100': 0.01778}",fiqa,dense,none
"{'NDCG@1': 0.48457, 'NDCG@3': 0.44779, 'NDCG@5': 0.45964, 'NDCG@10': 0.48563, 'NDCG@100': 0.52881}","{'MAP@1': 0.24056, 'MAP@3': 0.35278, 'MAP@5': 0.37891, 'MAP@10': 0.40114, 'MAP@100': 0.4155}","{'Recall@1': 0.24056, 'Recall@3': 0.40862, 'Recall@5': 0.47565, 'Recall@10': 0.55758, 'Recall@100': 0.70606}","{'P@1': 0.48457, 'P@3': 0.30195, 'P@5': 0.21852, 'P@10': 0.1338, 'P@100': 0.01778}",fiqa,dense,bi_encoder
"{'NDCG@1': 0.35494, 'NDCG@3': 0.34013, 'NDCG@5': 0.35416, 'NDCG@10': 0.38003, 'NDCG@100': 0.44747}","{'MAP@1': 0.18285, 'MAP@3': 0.26005, 'MAP@5': 0.28347, 'MAP@10': 0.30175, 'MAP@100': 0.31949}","{'Recall@1': 0.18285, 'Recall@3': 0.3167, 'Recall@5': 0.37703, 'Recall@10': 0.45671, 'Recall@100': 0.70606}","{'P@1': 0.35494, 'P@3': 0.22891, 'P@5': 0.17006, 'P@10': 0.10694, 'P@100': 0.01778}",fiqa,dense,cross_encoder
"{'NDCG@1': 0.28241, 'NDCG@3': 0.25078, 'NDCG@5': 0.25814, 'NDCG@10': 0.29378, 'NDCG@100': 0.37762}","{'MAP@1': 0.13991, 'MAP@3': 0.18669, 'MAP@5': 0.19886, 'MAP@10': 0.21859, 'MAP@100': 0.24093}","{'Recall@1': 0.13991, 'Recall@3': 0.22855, 'Recall@5': 0.26836, 'Recall@10': 0.37134, 'Recall@100': 0.67979}","{'P@1': 0.28241, 'P@3': 0.16409, 'P@5': 0.11975, 'P@10': 0.08395, 'P@100': 0.01668}",fiqa,hybrid,none
