ndcg,map,recall,precision,dataset,retriever,reranker
"{'NDCG@1': 0.158, 'NDCG@3': 0.12827, 'NDCG@5': 0.1147, 'NDCG@10': 0.13674, 'NDCG@100': 0.20062}","{'MAP@1': 0.03223, 'MAP@3': 0.05591, 'MAP@5': 0.06743, 'MAP@10': 0.07724, 'MAP@100': 0.09196}","{'Recall@1': 0.03223, 'Recall@3': 0.07243, 'Recall@5': 0.10303, 'Recall@10': 0.14348, 'Recall@100': 0.3319}","{'P@1': 0.158, 'P@3': 0.119, 'P@5': 0.1016, 'P@10': 0.0707, 'P@100': 0.01634}",scidocs,tfidf,none
"{'NDCG@1': 0.242, 'NDCG@3': 0.20578, 'NDCG@5': 0.17897, 'NDCG@10': 0.2126, 'NDCG@100': 0.25366}","{'MAP@1': 0.04932, 'MAP@3': 0.09385, 'MAP@5': 0.11227, 'MAP@10': 0.12959, 'MAP@100': 0.14214}","{'Recall@1': 0.04932, 'Recall@3': 0.11892, 'Recall@5': 0.16057, 'Recall@10': 0.2218, 'Recall@100': 0.3319}","{'P@1': 0.242, 'P@3': 0.195, 'P@5': 0.1582, 'P@10': 0.1094, 'P@100': 0.01634}",scidocs,tfidf,bi_encoder
"{'NDCG@1': 0.203, 'NDCG@3': 0.15606, 'NDCG@5': 0.13544, 'NDCG@10': 0.16442, 'NDCG@100': 0.22046}","{'MAP@1': 0.04128, 'MAP@3': 0.06997, 'MAP@5': 0.08264, 'MAP@10': 0.09636, 'MAP@100': 0.11021}","{'Recall@1': 0.04128, 'Recall@3': 0.08672, 'Recall@5': 0.11767, 'Recall@10': 0.17107, 'Recall@100': 0.3319}","{'P@1': 0.203, 'P@3': 0.14233, 'P@5': 0.116, 'P@10': 0.0844, 'P@100': 0.01634}",scidocs,tfidf,cross_encoder
"{'NDCG@1': 0.173, 'NDCG@3': 0.13323, 'NDCG@5': 0.11505, 'NDCG@10': 0.13662, 'NDCG@100': 0.19535}","{'MAP@1': 0.03525, 'MAP@3': 0.05915, 'MAP@5': 0.06947, 'MAP@10': 0.07911, 'MAP@100': 0.09238}","{'Recall@1': 0.03525, 'Recall@3': 0.07438, 'Recall@5': 0.10033, 'Recall@10': 0.1401, 'Recall@100': 0.31227}","{'P@1': 0.173, 'P@3': 0.122, 'P@5': 0.0988, 'P@10': 0.0689, 'P@100': 0.01536}",scidocs,bm25,none
"{'NDCG@1': 0.24, 'NDCG@3': 0.20084, 'NDCG@5': 0.17465, 'NDCG@10': 0.20589, 'NDCG@100': 0.24319}","{'MAP@1': 0.04897, 'MAP@3': 0.0913, 'MAP@5': 0.10925, 'MAP@10': 0.125, 'MAP@100': 0.13658}","{'Recall@1': 0.04897, 'Recall@3': 0.11522, 'Recall@5': 0.15557, 'Recall@10': 0.21303, 'Recall@100': 0.31227}","{'P@1': 0.24, 'P@3': 0.189, 'P@5': 0.1532, 'P@10': 0.1049, 'P@100': 0.01536}",scidocs,bm25,bi_encoder
"{'NDCG@1': 0.2, 'NDCG@3': 0.15436, 'NDCG@5': 0.1337, 'NDCG@10': 0.15998, 'NDCG@100': 0.21204}","{'MAP@1': 0.04068, 'MAP@3': 0.06886, 'MAP@5': 0.08086, 'MAP@10': 0.09336, 'MAP@100': 0.10648}","{'Recall@1': 0.04068, 'Recall@3': 0.08558, 'Recall@5': 0.11587, 'Recall@10': 0.1644, 'Recall@100': 0.31227}","{'P@1': 0.2, 'P@3': 0.14067, 'P@5': 0.1142, 'P@10': 0.081, 'P@100': 0.01536}",scidocs,bm25,cross_encoder
"{'NDCG@1': 0.24, 'NDCG@3': 0.20284, 'NDCG@5': 0.17737, 'NDCG@10': 0.21641, 'NDCG@100': 0.31212}","{'MAP@1': 0.04853, 'MAP@3': 0.09135, 'MAP@5': 0.11004, 'MAP@10': 0.12938, 'MAP@100': 0.15588}","{'Recall@1': 0.04853, 'Recall@3': 0.11658, 'Recall@5': 0.15923, 'Recall@10': 0.23087, 'Recall@100': 0.51012}","{'P@1': 0.24, 'P@3': 0.19167, 'P@5': 0.1572, 'P@10': 0.114, 'P@100': 0.02516}",scidocs,dense,none
"{'NDCG@1': 0.256, 'NDCG@3': 0.2193, 'NDCG@5': 0.19339, 'NDCG@10': 0.23794, 'NDCG@100': 0.32642}","{'MAP@1': 0.05212, 'MAP@3': 0.09973, 'MAP@5': 0.12099, 'MAP@10': 0.14453, 'MAP@100': 0.17065}","{'Recall@1': 0.05212, 'Recall@3': 0.12712, 'Recall@5': 0.17532, 'Recall@10': 0.25687, 'Recall@100': 0.51012}","{'P@1': 0.256, 'P@3': 0.20867, 'P@5': 0.1728, 'P@10': 0.1268, 'P@100': 0.02516}",scidocs,dense,bi_encoder
"{'NDCG@1': 0.207, 'NDCG@3': 0.16606, 'NDCG@5': 0.14512, 'NDCG@10': 0.17981, 'NDCG@100': 0.28584}","{'MAP@1': 0.04208, 'MAP@3': 0.07386, 'MAP@5': 0.08798, 'MAP@10': 0.10466, 'MAP@100': 0.13032}","{'Recall@1': 0.04208, 'Recall@3': 0.09388, 'Recall@5': 0.12842, 'Recall@10': 0.19252, 'Recall@100': 0.51012}","{'P@1': 0.207, 'P@3': 0.15433, 'P@5': 0.1266, 'P@10': 0.095, 'P@100': 0.02516}",scidocs,dense,cross_encoder
"{'NDCG@1': 0.219, 'NDCG@3': 0.1771, 'NDCG@5': 0.15779, 'NDCG@10': 0.18919, 'NDCG@100': 0.28144}","{'MAP@1': 0.04463, 'MAP@3': 0.07893, 'MAP@5': 0.09611, 'MAP@10': 0.11129, 'MAP@100': 0.13454}","{'Recall@1': 0.04463, 'Recall@3': 0.10083, 'Recall@5': 0.14222, 'Recall@10': 0.19985, 'Recall@100': 0.47185}","{'P@1': 0.219, 'P@3': 0.16567, 'P@5': 0.14, 'P@10': 0.0985, 'P@100': 0.02325}",scidocs,hybrid,none
"{'NDCG@1': 0.255, 'NDCG@3': 0.21961, 'NDCG@5': 0.19412, 'NDCG@10': 0.23828, 'NDCG@100': 0.31591}","{'MAP@1': 0.05192, 'MAP@3': 0.09995, 'MAP@5': 0.12142, 'MAP@10': 0.14481, 'MAP@100': 0.16909}","{'Recall@1': 0.05192, 'Recall@3': 0.12737, 'Recall@5': 0.17622, 'Recall@10': 0.25692, 'Recall@100': 0.47185}","{'P@1': 0.255, 'P@3': 0.209, 'P@5': 0.1736, 'P@10': 0.1268, 'P@100': 0.02325}",scidocs,hybrid,bi_encoder
